Ingredient_Name,Primary_Function,Ingredient_Category,Product_Categories,Origin,Safety_Level,Allergy_Risk,Irritation_Risk,Regulatory_Status,Packaging Names / Alternate Names
4-Amino-2-Hydroxytoluene,Colorant,Colorant,Hair Color,Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
m-Aminophenol,Colorant,Colorant,Hair Color,Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
2-Amino-4-Hydroxyethylaminoanisole Sulfate,Colorant,Colorant,Hair Color,Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Sodium Metabisulfite (Hair Color),Antioxidant,Antioxidant,"Hair Color, Perm Lotion",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Ammonium Thioglycolate,Reducing Agent,Reducing Agent,"Hair Straightener, Perm Lotion",Synthetic,Moderate Risk,Medium,High,Restricted,No Alternate Names
Lactic Acid (Intimate Care),pH Balancer,Acid,"Intimate Wash, Intimate Moisturizer",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Lactate (Intimate Care),Humectant,Salt,"Intimate Wash, Intimate Moisturizer",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Lactoserum (Milk Whey),Soothing Agent,Protein,Intimate Wash,Animal Derived,Safe,Low,No Risk,Approved,Milk Whey
Fennel Extract (Foeniculum Vulgare),Soothing Agent,Botanical Extract,"Intimate Wash, Feminine Hygiene Products",Natural,Safe,Low,No Risk,Approved,Foeniculum Vulgare
Neem Extract (Intimate Care),Antimicrobial,Botanical Extract,Intimate Wash,Natural,Safe,Medium,Low,Approved,No Alternate Names
Turmeric Extract (Intimate Care),Antimicrobial,Botanical Extract,Intimate Wash,Natural,Safe,Low,No Risk,Approved,No Alternate Names
Sepicalm S (Zinc PCA/Sclerocarya Birrea Extract),Soothing Agent,Botanical Derivative,Intimate Wash,Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Zinc Oxide (Baby Care),Skin Protectant,Mineral,"Diaper Rash Cream, Baby Cream",Mineral,Very Safe,Low,No Risk,Approved,No Alternate Names
Petrolatum (Baby Care),Skin Protectant,Wax,"Diaper Rash Cream, Baby Lotion",Mineral,Very Safe,Low,No Risk,Approved,No Alternate Names
Calendula Extract (Baby Care),Soothing Agent,Botanical Extract,"Baby Cream, Baby Lotion",Natural,Very Safe,Low,No Risk,Approved,No Alternate Names
Allantoin (Baby Care),Soothing Agent,Botanical Derivative,"Baby Cream, Diaper Rash Cream",Synthetic,Very Safe,Low,No Risk,Approved,No Alternate Names
Cornstarch (Baby Powder),Absorbent,Starch,Baby Powder,Natural,Safe,Low,No Risk,Approved,Baby Powder
Menthol (Aftershave),Cooling Agent,Cooling Agent,"Aftershave, Beard Wash",Naturally Derived,Safe,Low,Medium,Approved,No Alternate Names
Witch Hazel Extract (Aftershave),Astringent,Botanical Extract,"Aftershave, Toner",Natural,Safe,Low,Low,Approved,No Alternate Names
Alum (Potassium Aluminum Sulfate),Astringent,Mineral Salt,"Aftershave, Alum Block",Mineral,Safe,Low,Low,Approved,Potassium Aluminum Sulfate
Beard Oil Blend (Argan/Jojoba/Vitamin E),Emollient,Oil Blend,Beard Oil,Natural,Safe,Low,No Risk,Approved,No Alternate Names
Isododecane,Emollient,Emollient,"Foundation, Mascara, Primer",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Trimethylsiloxysilicate (Makeup),Film Former,Silicone,"Foundation, Setting Spray",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
VP/Eicosene Copolymer,Film Former,Polymer,"Setting Spray, Mascara",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Aluminum Starch Octenylsuccinate,Texturizer,Starch,"Foundation, Powder",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Phenyl Trimethicone (Makeup),Emollient,Silicone,"Foundation, Primer",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Synthetic Fluorphlogopite,Texturizer,Mineral,"Highlighter, Eyeshadow",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Calcium Sodium Borosilicate,Texturizer,Mineral,Highlighter,Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Sericite,Texturizer,Mineral,"Compact Powder, Foundation",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Panthenol Triacetate,Conditioning Agent,Vitamin,"Hair Serum, Conditioner",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Glyceryl Oleate,Emulsifier,Emulsifier,"Cream, Lotion",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Glyceryl Linoleate,Emollient,Fatty Ester,"Serum, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
PEG-40 Hydrogenated Castor Oil,Solubilizer,Emulsifier,"Toner, Serum, Perfume",Synthetic,Safe,Low,Low,Approved,No Alternate Names
PEG-60 Hydrogenated Castor Oil,Solubilizer,Emulsifier,"Micellar Water, Serum",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Polysorbate 60,Emulsifier,Surfactant,"Cream, Lotion",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Sorbitan Laurate,Emulsifier,Surfactant,"Cream, Lotion",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Steareth-21,Emulsifier,Emulsifier,"Cream, Sunscreen",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Ceteareth-25,Emulsifier,Emulsifier,"Cream, Lotion",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Oleth-20,Emulsifier,Emulsifier,"Cream, Cleansing Balm",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Laureth-4,Emulsifier,Emulsifier,"Cleansing Oil, Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Laureth-23,Emulsifier,Emulsifier,"Cream, Toner",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
PPG-26-Buteth-26,Solubilizer,Emulsifier,"Serum, Toner",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
PEG-40 Stearate,Emulsifier,Emulsifier,"Cream, Body Wash",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Glycol Distearate,Pearlizing Agent,Emollient,"Shampoo, Body Wash",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Glycol Stearate,Pearlizing Agent,Emollient,"Shampoo, Body Wash, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Cocamide DIPA,Foam Booster,Surfactant,"Shampoo, Body Wash",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Myristamine Oxide,Foam Booster,Surfactant,"Shampoo, Body Wash",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Lauramine Oxide,Foam Booster,Surfactant,"Shampoo, Body Wash",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Cocamidopropyl Betaine (Baby),Surfactant,Surfactant,"Baby Shampoo, Baby Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Hydroxymethylglycinate,Preservative,Preservative,"Cream, Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Iodopropynyl Butylcarbamate,Preservative,Preservative,"Cream, Body Wash",Synthetic,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Benzalkonium Chloride,Preservative,Preservative,"Wet Wipes, Hand Sanitizer",Synthetic,Moderate Risk,Medium,Medium,Approved,No Alternate Names
Undecylenamidopropyl Betaine,Antimicrobial,Surfactant,"Intimate Wash, Anti-Acne Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Capryloyl Glycine,Preservative Booster,Amino Acid Derivative,"Deodorant, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Undecylenoyl Glycine,Preservative Booster,Amino Acid Derivative,"Deodorant, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Surfactin,Cleansing Agent,Biosurfactant,"Face Wash, Serum",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Alkyl Polyglucoside,Surfactant,Surfactant,"Baby Wash, Face Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Sodium Cocoamphoacetate,Surfactant,Surfactant,"Baby Shampoo, Body Wash",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
PEG-20 Glyceryl Triisostearate,Solubilizer,Emulsifier,"Micellar Water, Toner",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polyglyceryl-10 Laurate,Emulsifier,Emulsifier,"Cleansing Oil, Serum",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Isoamyl Laurate,Emollient,Emollient,"Sunscreen, Serum",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Isopropyl Lauroyl Sarcosinate,Emollient,Emollient,"Sunscreen, Serum",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Neopentyl Glycol Dicaprylate/Dicaprate,Emollient,Emollient,"Sunscreen, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Diethylhexyl Succinate,Emollient,Emollient,"Sunscreen, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Diethylhexyl Carbonate,Emollient,Emollient,"Sunscreen, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Triethylhexanoin,Emollient,Emollient,"Foundation, Sunscreen",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Trioctyldodecyl Citrate,Emollient,Emollient,"Sunscreen, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Caprylyl Caprylate/Caprate,Emollient,Emollient,"Sunscreen, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Cetyl PEG/PPG-10/1 Dimethicone,Emulsifier,Silicone,"Sunscreen, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polyacrylate-13,Emulsifier,Polymer,"Sunscreen, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polyisobutene,Film Former,Polymer,"Lip Gloss, Sunscreen",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Trimethylolpropane Triisostearate,Emollient,Emollient,"Lipstick, Sunscreen",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Diisostearyl Malate,Emollient,Emollient,"Lipstick, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Hydrogenated Polyisobutene,Emollient,Emollient,"Lip Gloss, Mascara",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polybutene (Cosmetic Grade),Emollient,Emollient,"Lip Gloss, Mascara",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Ozokerite (Cosmetic Grade),Occlusive,Wax,"Lip Balm, Mascara",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Synthetic Wax,Texturizer,Wax,"Lipstick, Foundation Stick",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polyethylene,Exfoliant,Polymer,"Face Scrub, Body Scrub",Synthetic,Moderate Risk,Low,Low,Country Restricted,No Alternate Names
Jojoba Esters,Exfoliant,Wax Ester,"Face Scrub, Body Scrub",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Walnut Shell Powder (Juglans Regia Shell Powder),Exfoliant,Botanical Extract,"Face Scrub, Body Scrub",Natural,Safe,Medium,Medium,Approved,Juglans Regia Shell Powder
Apricot Seed Powder (Prunus Armeniaca Seed Powder),Exfoliant,Botanical Extract,"Face Scrub, Body Scrub",Natural,Safe,Medium,Medium,Approved,Prunus Armeniaca Seed Powder
Bamboo Powder (Bambusa Vulgaris Powder),Exfoliant,Botanical Extract,"Face Scrub, Body Scrub",Natural,Safe,Low,Low,Approved,Bambusa Vulgaris Powder
Rice Bran Powder (Oryza Sativa Bran Powder),Exfoliant,Botanical Extract,"Face Scrub, Body Scrub",Natural,Safe,Low,Low,Approved,Oryza Sativa Bran Powder
Coffee Seed Powder (Coffea Arabica Seed Powder),Exfoliant,Botanical Extract,"Body Scrub, Eye Cream",Natural,Safe,Low,Low,Approved,Coffea Arabica Seed Powder
Sugar (Saccharum Officinarum Extract),Exfoliant,Sugar,"Lip Scrub, Body Scrub",Natural,Safe,Low,Low,Approved,Saccharum Officinarum Extract
Sea Salt (Maris Sal),Exfoliant,Mineral,"Body Scrub, Foot Scrub",Mineral,Safe,Low,Medium,Approved,Maris Sal
Pumice Powder,Exfoliant,Mineral,"Foot Scrub, Body Scrub",Mineral,Safe,Low,Medium,Approved,No Alternate Names
Diatomaceous Earth,Absorbent,Mineral,"Face Mask, Face Pack",Mineral,Safe,Low,Low,Approved,No Alternate Names
Activated Charcoal (Charcoal Powder),Absorbent,Mineral,"Face Mask, Face Wash, Soap",Natural,Safe,Low,Low,Approved,Charcoal Powder
Volcanic Ash,Absorbent,Mineral,"Face Mask, Face Scrub",Mineral,Safe,Low,Low,Approved,No Alternate Names
Rhassoul Clay (Moroccan Lava Clay),Absorbent,Mineral,"Face Mask, Hair Mask",Mineral,Safe,Low,Low,Approved,Moroccan Lava Clay
French Green Clay (Illite),Absorbent,Mineral,"Face Mask, Face Pack",Mineral,Safe,Low,Low,Approved,Illite
Sodium Cocoyl Apple Amino Acids,Cleansing Agent,Surfactant,"Baby Wash, Face Wash",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Disodium Cocoyl Glutamate,Cleansing Agent,Surfactant,"Face Wash, Body Wash",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Cocoamphoacetate (Baby),Surfactant,Surfactant,Baby Wash,Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Glucamate SSE-20,Emulsifier,Emulsifier,"Cream, Lotion",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Acrylates Copolymer,Thickener,Polymer,"Gel, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Acrylates/Steareth-20 Methacrylate Copolymer,Thickener,Polymer,"Gel, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Ammonium Acryloyldimethyltaurate/VP Copolymer,Thickener,Polymer,"Sunscreen, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polyacrylamide,Film Former,Polymer,"Serum, Mask",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
C13-14 Isoparaffin,Solvent,Emollient,"Sunscreen, Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Laureth-7,Emulsifier,Emulsifier,"Sunscreen, Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
PPG-1-PEG-9 Lauryl Glycol Ether,Solubilizer,Emulsifier,"Toner, Micellar Water",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Poloxamer 407,Solubilizer,Polymer,"Toner, Serum, Micellar Water",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Poloxamer 184,Solubilizer,Polymer,"Micellar Water, Toner",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Hydroxyacetophenone,Preservative Booster,Antioxidant,"Cream, Serum",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Glyceryl Caprate,Preservative Booster,Emollient,"Cream, Serum",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Glyceryl Cocoate,Emollient,Emollient,"Cleansing Balm, Cream",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Cetearyl Isononanoate,Emollient,Emollient,"Cream, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Isodecyl Neopentanoate,Emollient,Emollient,"Foundation, Cream",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Diisostearyl Fumarate,Emollient,Emollient,"Foundation, Lipstick",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Beeswax Derivative (Cera Alba Comb),Emollient,Wax,"Lip Balm, Mascara",Natural,Safe,Medium,No Risk,Approved,Cera Alba Comb
Copernicia Cerifera Cera (Carnauba),Texturizer,Wax,"Mascara, Lipstick",Natural,Safe,Low,No Risk,Approved,Carnauba
Euphorbia Cerifera Cera (Candelilla),Texturizer,Wax,"Lipstick, Lip Balm",Natural,Safe,Low,No Risk,Approved,Candelilla
Polyethylene Wax,Texturizer,Wax,"Lipstick, Mascara",Synthetic,Safe,Low,No Risk,Country Restricted,No Alternate Names
Synthetic Beeswax,Texturizer,Wax,"Lipstick, Mascara",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Rice Wax (Oryza Sativa Cera),Texturizer,Wax,"Lipstick, Lip Balm",Natural,Safe,Low,No Risk,Approved,Oryza Sativa Cera
Sunflower Seed Wax,Texturizer,Wax,"Lip Balm, Lipstick",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Jojoba Wax (Hydrogenated Jojoba Oil),Emollient,Wax,"Lip Balm, Lipstick",Natural,Safe,Low,No Risk,Approved,Hydrogenated Jojoba Oil
Polyglyceryl-2 Triisostearate,Emulsifier,Emulsifier,"Sunscreen, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Polyglyceryl-3 Polyricinoleate,Emulsifier,Emulsifier,"Sunscreen, Foundation",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Aluminum Hydroxide,Texturizer,Mineral,"Sunscreen, Foundation",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Triethoxycaprylylsilane,Surface Treatment,Silicone,"Sunscreen, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Stearic Acid Coated Titanium Dioxide,UV Filter,UV Filter,"Sunscreen, Foundation",Mineral,Safe,Low,Low,Approved,No Alternate Names
Dimethicone/Vinyl Dimethicone Crosspolymer,Texturizer,Silicone,"Foundation, Primer",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Peg-9 Polydimethylsiloxyethyl Dimethicone,Emulsifier,Silicone,"Sunscreen, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Disteardimonium Hectorite,Thickener,Mineral,"Sunscreen, Foundation",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Silica Dimethyl Silylate,Texturizer,Silica,"Primer, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Hydrogen Dimethicone,Emollient,Silicone,"Foundation, Sunscreen",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Iron Oxides (Natural),Colorant,Pigment,"Foundation, Compact Powder",Mineral,Safe,Low,Low,Approved,No Alternate Names
Carmine (CI 75470),Colorant,Pigment,"Lipstick, Blush",Animal Derived,Moderate Risk,Medium,Low,Approved,CI 75470
Guanine (Fish Scale Pearl Pigment),Colorant,Pigment,"Highlighter, Nail Polish",Animal Derived,Safe,Low,No Risk,Approved,Fish Scale Pearl Pigment
Calcium Carbonate (Cosmetic Grade),Texturizer,Mineral,"Compact Powder, Toothpaste",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Magnesium Carbonate,Absorbent,Mineral,"Compact Powder, Deodorant",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Zinc Laurate,Texturizer,Fatty Acid Salt,"Compact Powder, Foundation",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Isopropyl Titanium Triisostearate,Surface Treatment,Emollient,"Foundation, Sunscreen",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Octenylsuccinate Starch,Texturizer,Starch,"Foundation, Powder",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Tapioca Starch (Manihot Esculenta Starch),Absorbent,Starch,"Dry Shampoo, Compact Powder",Natural,Safe,Low,No Risk,Approved,Manihot Esculenta Starch
Potato Starch (Solanum Tuberosum Starch),Absorbent,Starch,"Baby Powder, Dry Shampoo",Natural,Safe,Low,No Risk,Approved,Solanum Tuberosum Starch
Cyclodextrin,Odor Neutralizer,Polymer,"Deodorant, Body Mist",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Hyaluronate Crosspolymer (Sheet Mask),Humectant,Polymer,"Sheet Mask, Serum",Biotechnology Derived,Safe,No Risk,No Risk,Approved,No Alternate Names
Hydrolyzed Hyaluronic Acid,Humectant,Polymer,"Serum, Sheet Mask",Biotechnology Derived,Safe,No Risk,No Risk,Approved,No Alternate Names
Sodium Acetylated Hyaluronate,Humectant,Polymer,"Serum, Eye Cream",Biotechnology Derived,Safe,No Risk,No Risk,Approved,No Alternate Names
Superoxide Dismutase,Antioxidant,Enzyme,"Serum, Anti-Aging Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Glutathione,Brightening Agent,Antioxidant,"Serum, Brightening Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
L-Ascorbic Acid,Antioxidant,Vitamin,Vitamin C Serum,Synthetic,Safe,Low,Medium,Approved,No Alternate Names
3-O-Ethyl Ascorbic Acid,Antioxidant,Vitamin,"Serum, Brightening Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Tetrahexyldecyl Ascorbate,Antioxidant,Vitamin,"Serum, Face Oil",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Idebenone,Antioxidant,Antioxidant,"Serum, Anti-Aging Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Caffeine,Anti-Aging Agent,Alkaloid,"Eye Cream, Body Scrub, Anti-Cellulite Cream",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Theobromine,Conditioning Agent,Alkaloid,"Body Lotion, Serum",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Guarana Extract (Paullinia Cupana Seed Extract),Anti-Aging Agent,Botanical Extract,"Body Scrub, Eye Cream",Natural,Safe,Low,No Risk,Approved,Paullinia Cupana Seed Extract
Spirulina Extract (Arthrospira Platensis Extract),Antioxidant,Algae Extract,"Face Mask, Serum",Natural,Safe,Low,No Risk,Approved,Arthrospira Platensis Extract
Chlorella Vulgaris Extract,Antioxidant,Algae Extract,"Serum, Face Mask",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Laminaria Extract (Seaweed Extract),Humectant,Algae Extract,"Face Mask, Serum, Body Wrap",Natural,Safe,Low,No Risk,Approved,Seaweed Extract
Ascophyllum Nodosum Extract (Brown Algae),Humectant,Algae Extract,"Serum, Body Wrap",Natural,Safe,Low,No Risk,Approved,Brown Algae
Spirulina Platensis Extract,Antioxidant,Algae Extract,"Face Mask, Serum",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Yeast Extract (Faex Extract),Conditioning Agent,Biotechnology Derivative,"Serum, Cream",Biotechnology Derived,Safe,Low,No Risk,Approved,Faex Extract
Saccharomyces Ferment Filtrate,Anti-Aging Agent,Biotechnology Derivative,"Serum, Essence",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Bifida Ferment Lysate,Anti-Aging Agent,Biotechnology Derivative,"Serum, Essence",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Galactomyces Ferment Filtrate,Brightening Agent,Biotechnology Derivative,"Serum, Essence, Toner",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Lactobacillus/Rice Ferment Filtrate,Brightening Agent,Biotechnology Derivative,"Serum, Essence",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Cocoyl Amino Acids,Cleansing Agent,Surfactant,"Baby Shampoo, Face Wash",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Lauroyl Oat Amino Acids,Cleansing Agent,Surfactant,"Baby Wash, Face Wash",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Potassium Sorbate (Baby),Preservative,Preservative,"Baby Lotion, Baby Wash",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Sodium Benzoate (Baby),Preservative,Preservative,"Baby Shampoo, Baby Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Chlorphenesin (Baby),Preservative,Preservative,"Baby Cream, Baby Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Panthenol (Baby),Soothing Agent,Vitamin,"Baby Lotion, Baby Cream",Synthetic,Very Safe,Low,No Risk,Approved,No Alternate Names
Calendula Officinalis Oil,Emollient,Oil,"Baby Oil, Baby Massage Oil",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Chamomile Oil (Baby Care),Soothing Agent,Essential Oil,"Baby Lotion, Baby Massage Oil",Natural,Safe,Medium,Low,Approved,No Alternate Names
Olive Oil (Baby Care),Emollient,Oil,"Baby Oil, Baby Massage Oil",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Coconut Oil (Baby Care),Emollient,Oil,"Baby Oil, Baby Massage Oil",Natural,Safe,Medium,Low,Approved,No Alternate Names
Sweet Almond Oil (Baby Care),Emollient,Oil,"Baby Oil, Baby Massage Oil",Natural,Safe,Medium,Low,Approved,No Alternate Names
Aloe Vera Gel (Baby Care),Soothing Agent,Botanical Extract,"Baby Lotion, After Sun Gel",Natural,Very Safe,Low,No Risk,Approved,No Alternate Names
Menthol (Foot Care),Cooling Agent,Cooling Agent,"Foot Cream, Foot Scrub",Naturally Derived,Safe,Low,Medium,Approved,No Alternate Names
Urea (Foot Care),Humectant,Humectant,"Foot Cream, Foot Scrub",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Salicylic Acid (Foot Care),Exfoliant,Acid,"Foot Scrub, Foot Cream",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Tea Tree Oil (Foot Care),Antimicrobial,Essential Oil,"Foot Cream, Foot Powder",Natural,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Peppermint Oil (Foot Care),Cooling Agent,Essential Oil,"Foot Cream, Foot Scrub",Natural,Moderate Risk,Medium,Medium,Restricted,No Alternate Names
Shea Butter (Foot Care),Emollient,Butter,"Foot Cream, Heel Balm",Natural,Very Safe,Low,No Risk,Approved,No Alternate Names
Beeswax (Lip Care),Occlusive,Wax,"Lip Balm, Lip Mask",Animal Derived,Safe,Medium,No Risk,Approved,No Alternate Names
Castor Oil (Lip Care),Emollient,Oil,"Lip Balm, Lip Gloss",Natural,Safe,Low,Low,Approved,No Alternate Names
Shea Butter (Lip Care),Emollient,Butter,"Lip Balm, Lip Mask",Natural,Very Safe,Low,No Risk,Approved,No Alternate Names
Vitamin E (Lip Care),Antioxidant,Vitamin,"Lip Balm, Lip Mask",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Menthol (Lip Plumper),Cooling Agent,Cooling Agent,"Lip Plumper, Lip Gloss",Naturally Derived,Moderate Risk,Low,Medium,Approved,No Alternate Names
Cinnamon Oil (Lip Plumper),Irritant/Plumping Agent,Essential Oil,Lip Plumper,Natural,Moderate Risk,Medium,High,Restricted,No Alternate Names
Capsicum Extract (Lip Plumper),Irritant/Plumping Agent,Botanical Extract,Lip Plumper,Natural,Moderate Risk,Medium,High,Approved,No Alternate Names
Hyaluronic Acid (Lip Plumper),Humectant,Polymer,"Lip Plumper, Lip Serum",Biotechnology Derived,Very Safe,No Risk,No Risk,Approved,No Alternate Names
Titanium Dioxide (Sanitary Products),Colorant,Pigment,"Sanitary Pads, Panty Liners",Mineral,Safe,Low,No Risk,Approved,No Alternate Names
Superabsorbent Polymer (Sodium Polyacrylate),Absorbent,Polymer,"Sanitary Pads, Diapers",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Cellulose Fiber (Wood Pulp),Absorbent,Natural Polymer,"Sanitary Pads, Tampons",Natural,Safe,Low,No Risk,Approved,Wood Pulp
Cotton Fiber (Gossypium Herbaceum),Absorbent,Natural Fiber,"Tampons, Sanitary Pads, Panty Liners",Natural,Very Safe,Low,No Risk,Approved,Gossypium Herbaceum
Medical Grade Silicone,Material,Polymer,Menstrual Cups,Synthetic,Very Safe,Low,No Risk,Approved,No Alternate Names
Thermoplastic Elastomer,Material,Polymer,"Period Panties, Menstrual Cups",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
